pays,score_final_viande_de_bovins,score_final_lait,score_final_ble,score_final_epices,cluster,cluster_label
Albanie,0.5432845390609864,0.3436217226501282,0.4176684100374959,0.6300240255539817,0,Potentiel intermediaire
Argentine,0.24140708691050286,0.5066304751609622,0.416405331517972,0.6319641074279674,2,Faible priorite immediate
Australie,0.34189307405835306,0.47507279684727066,0.4340542220024468,0.6015809805513669,2,Faible priorite immediate
Azerbaïdjan,0.5554322432047187,0.5353918341423248,0.33764059416086045,0.6273127533328023,0,Potentiel intermediaire
Bangladesh,0.6473467802132006,0.6375351720242272,0.7113268268855817,0.5302675034768121,1,Priorite multi-produits
Belgique,0.5493535878243212,0.515771083196966,0.502890400756393,0.5997844275210906,0,Potentiel intermediaire
Bolivie (État plurinational de),0.49530578212617543,0.597245241080142,0.5564739905513487,0.6023730686379265,1,Priorite multi-produits
Bosnie-Herzégovine,0.5791789852876092,0.4892430139469248,0.5006786071359552,0.6207320634647295,0,Potentiel intermediaire
Bulgarie,0.6117304491077713,0.5146778020632767,0.48357041169970966,0.5457170844294027,0,Potentiel intermediaire
Canada,0.5210810228281071,0.5135369578711214,0.4376942907884773,0.5997965555888283,0,Potentiel intermediaire
Chine - RAS de Hong-Kong,0.550457322113117,0.6122747372415311,0.5476920310246136,0.6024432006233275,1,Priorite multi-produits
Chine - RAS de Macao,0.5531891237486364,0.6084315740877642,0.5514625623348253,0.5877748632515968,1,Priorite multi-produits
"Chine, Taiwan Province de",0.6173252201320216,0.6178304238759049,0.5778277673306643,0.5543346135540259,1,Priorite multi-produits
"Chine, continentale",0.7620375573741793,0.8133645711239259,0.5752547558546743,0.7363092962506547,1,Priorite multi-produits
Chypre,0.5927992647169555,0.5497268060313631,0.48925934007446026,0.6080969635885991,0,Potentiel intermediaire
Colombie,0.5354945176156769,0.5425127156146242,0.606883050862964,0.5971869252416431,1,Priorite multi-produits
Costa Rica,0.5500897338630105,0.5054488514554332,0.5743628663487594,0.6110377404806607,1,Priorite multi-produits
Côte d'Ivoire,0.630075149950349,0.633405080189815,0.6039318026691113,0.6111430461407754,1,Priorite multi-produits
Danemark,0.4854586659892859,0.40681493521516277,0.47879554642273947,0.5461232082897972,0,Potentiel intermediaire
Espagne,0.5596002848805133,0.5470270054686794,0.5597623035153696,0.6404138053820687,1,Priorite multi-produits
Fidji,0.6030547285676253,0.6129353762320612,0.4996627765814246,0.5933017844152721,1,Priorite multi-produits
Fédération de Russie,0.5757021647327415,0.5492108064851379,0.25835959371766015,0.6489826987119296,0,Potentiel intermediaire
Ghana,0.6321372112616364,0.6323720379379069,0.6021478924579584,0.6331554367856029,1,Priorite multi-produits
Grèce,0.5502902690375605,0.4865372648704299,0.433739934660734,0.6139580586128823,0,Potentiel intermediaire
Guatemala,0.5683144705226363,0.6057594051658375,0.5816091668967666,0.6078032961759392,1,Priorite multi-produits
Guyana,0.6130546954003471,0.5697010313660127,0.5370578857859811,0.3789709345707108,3,Marches specialises
Géorgie,0.597819560488781,0.5329527173125327,0.38485679306716963,0.6171184294885845,0,Potentiel intermediaire
Honduras,0.5918601094700053,0.570507930247507,0.5927975609435276,0.6247999718718036,1,Priorite multi-produits
Hongrie,0.6110216847561873,0.5000725312468425,0.4475096240978413,0.5695901041214539,0,Potentiel intermediaire
Inde,0.7480664512217645,0.5209714873483604,0.6384029791365848,0.44992232104505214,3,Marches specialises
Indonésie,0.6655140439868954,0.6737741842647241,0.7736250432875779,0.540136757311771,1,Priorite multi-produits
Iran (République islamique d'),0.6185441345815711,0.5925763110357701,0.34676282940995046,0.5992793308607843,0,Potentiel intermediaire
Italie,0.5654229512103631,0.5373790842281109,0.48956661073937,0.6470801530426258,0,Potentiel intermediaire
Jamaïque,0.6135087731754754,0.5797914108024231,0.5322003031606766,0.5941357561107461,1,Priorite multi-produits
Japon,0.6571686509229545,0.6107231245649697,0.6591259026741988,0.6232154205442653,1,Priorite multi-produits
Kenya,0.5606762307255184,0.5766812536778706,0.6065212698962632,0.6345747494868832,1,Priorite multi-produits
Kirghizistan,0.546529858852426,0.47998214154366775,0.42741019910417444,0.6236335737498,0,Potentiel intermediaire
Koweït,0.5903938445634973,0.5993245404814233,0.47559420610463915,0.4655461561552655,3,Marches specialises
Liban,0.570293458602831,0.5884233458352253,0.4269328876818653,0.6053236422544808,0,Potentiel intermediaire
Lituanie,0.6028219497789419,0.3825072458944636,0.4337950060419768,0.5532200529307145,0,Potentiel intermediaire
Macédoine du Nord,0.5912326108548656,0.5187476692633466,0.46390197560456803,0.6010813535166588,0,Potentiel intermediaire
Madagascar,0.5957701819171624,0.6190002814033946,0.6205945727304909,0.6311885818382827,1,Priorite multi-produits
Malaisie,0.6177117117893284,0.6355753434123763,0.5800219956443073,0.47337007332146974,3,Marches specialises
Maroc,0.5903796347033712,0.5965961578357754,0.3711264062805689,0.5694481853988496,0,Potentiel intermediaire
Maurice,0.6024602550356286,0.6178073183443218,0.4296930082931442,0.5005395150061173,3,Marches specialises
Mexique,0.5379662788418849,0.6175753892342892,0.6612861579689049,0.5601850330847888,1,Priorite multi-produits
Niger,0.5925632921566505,0.5929813355707283,0.6315651733030805,0.614106026746289,1,Priorite multi-produits
Nigéria,0.6443497060911845,0.658235127111454,0.700276732982652,0.49468854480072777,1,Priorite multi-produits
Népal,0.5821480517075199,0.5931560751429324,0.5497275238560122,0.2952660020155929,3,Marches specialises
Ouganda,0.6108059513617374,0.6073081656712399,0.6313182239226081,0.6343835165916365,1,Priorite multi-produits
Pakistan,0.5740657065328885,0.4691427284689856,0.44406793716391907,0.6687099270757053,0,Potentiel intermediaire
Pays-Bas,0.5602209506984941,0.43076222263281927,0.6123173507411861,0.640418659342668,1,Priorite multi-produits
Philippines,0.633248299406689,0.6508429087879966,0.6834359459691263,0.6234915412503659,1,Priorite multi-produits
Pologne,0.5963879043574278,0.5090308947004544,0.45943717259200695,0.6372301299064234,0,Potentiel intermediaire
Portugal,0.5339293736194344,0.4829426421024934,0.5189718711031721,0.6145919199528431,0,Potentiel intermediaire
Pérou,0.606285199338934,0.592235756358145,0.5681606572231783,0.6187289470332935,1,Priorite multi-produits
Roumanie,0.6058468726973528,0.4658713622644537,0.4246511292106595,0.6162537275163397,0,Potentiel intermediaire
République de Corée,0.58757182681367,0.6290911565412434,0.6161494822328242,0.6168381356098669,1,Priorite multi-produits
République dominicaine,0.5809817748259201,0.5649450885420202,0.5957655376309963,0.6093502783047267,1,Priorite multi-produits
République-Unie de Tanzanie,0.6021169081239063,0.607991274152094,0.6307812401167832,0.6355437756877751,1,Priorite multi-produits
Serbie,0.5934128383189745,0.5055750371831105,0.4472499173894364,0.6262500157563897,0,Potentiel intermediaire
Slovaquie,0.5998163010973454,0.5290396352598801,0.5251591982436599,0.6062579599519655,0,Potentiel intermediaire
Sri Lanka,0.6296941591158431,0.6255018468022125,0.5886368531877174,0.46833835940237295,3,Marches specialises
Tchad,0.5723912744014654,0.6028445769142743,0.6289046936703132,0.6321024802937008,1,Priorite multi-produits
Thaïlande,0.6283424891590358,0.6335286633130961,0.6657861875012924,0.5224524871499626,1,Priorite multi-produits
Togo,0.6240959059482092,0.6273538282355439,0.6089595645419409,0.6254945213234092,1,Priorite multi-produits
Trinité-et-Tobago,0.6053266267607083,0.6101825431158493,0.48045771930151315,0.4607670731339948,3,Marches specialises
Tunisie,0.6002267374092909,0.5501394202671168,0.3260154481262559,0.525282773534514,0,Potentiel intermediaire
Turquie,0.5483890862870613,0.4878667767892581,0.433033939805904,0.4804628014540617,0,Potentiel intermediaire
Ukraine,0.5898787222289448,0.5171296189489635,0.36933607004142827,0.6301061886691192,0,Potentiel intermediaire
Viet Nam,0.6401139734993418,0.6400478471114066,0.7006494135330237,0.6456604777001663,1,Priorite multi-produits
Zambie,0.602895629392278,0.6239385854883469,0.6178058258318188,0.6109755117402269,1,Priorite multi-produits
Égypte,0.5872051670410501,0.6188472638421806,0.5281631822450288,0.6245470401656874,1,Priorite multi-produits
Équateur,0.5541675477283218,0.552697216442841,0.5476290030497731,0.6181043921195242,1,Priorite multi-produits
États-Unis d'Amérique,0.32179448287058865,0.35216153095593755,0.5002686689752281,0.792864714251681,2,Faible priorite immediate
Éthiopie,0.6206383386743417,0.6203662609980052,0.597772141919681,0.6190646688842503,1,Priorite multi-produits
